Rep,TP,TN,FP,FN,Precision,Recall
CLUSTERS_8_REP_1,0,1332762,0,72635838,1,0
CLUSTERS_8_REP_1,2,1332762,0,72635836,1,0
CLUSTERS_8_REP_1,6,1332762,0,72635832,1,0
CLUSTERS_8_REP_1,10,1332762,0,72635828,1,0
CLUSTERS_8_REP_1,16,1332762,0,72635822,1,0
CLUSTERS_8_REP_1,18,1332762,0,72635820,1,0
CLUSTERS_8_REP_1,22,1332762,0,72635816,1,0
CLUSTERS_8_REP_1,26,1332762,0,72635812,1,0
CLUSTERS_8_REP_1,38,1332762,0,72635800,1,1e-06
CLUSTERS_8_REP_1,50,1332762,0,72635788,1,1e-06
CLUSTERS_8_REP_1,52,1332762,0,72635786,1,1e-06
CLUSTERS_8_REP_1,54,1332762,0,72635784,1,1e-06
CLUSTERS_8_REP_1,56,1332762,0,72635782,1,1e-06
CLUSTERS_8_REP_1,64,1332762,0,72635774,1,1e-06
CLUSTERS_8_REP_1,68,1332762,0,72635770,1,1e-06
CLUSTERS_8_REP_1,92,1332762,0,72635746,1,1e-06
CLUSTERS_8_REP_1,96,1332762,0,72635742,1,1e-06
CLUSTERS_8_REP_1,112,1332762,0,72635726,1,2e-06
CLUSTERS_8_REP_1,134,1332762,0,72635704,1,2e-06
CLUSTERS_8_REP_1,144,1332762,0,72635694,1,2e-06
CLUSTERS_8_REP_1,150,1332762,0,72635688,1,2e-06
CLUSTERS_8_REP_1,164,1332762,0,72635674,1,2e-06
CLUSTERS_8_REP_1,206,1332762,0,72635632,1,3e-06
CLUSTERS_8_REP_1,252,1332762,0,72635586,1,3e-06
CLUSTERS_8_REP_1,278,1332762,0,72635560,1,4e-06
CLUSTERS_8_REP_1,300,1332762,0,72635538,1,4e-06
CLUSTERS_8_REP_1,382,1332762,0,72635456,1,5e-06
CLUSTERS_8_REP_1,432,1332762,0,72635406,1,6e-06
CLUSTERS_8_REP_1,488,1332762,0,72635350,1,7e-06
CLUSTERS_8_REP_1,588,1332762,0,72635250,1,8e-06
CLUSTERS_8_REP_1,686,1332762,0,72635152,1,9e-06
CLUSTERS_8_REP_1,770,1332762,0,72635068,1,1.1e-05
CLUSTERS_8_REP_1,838,1332756,6,72635000,0.992891,1.2e-05
CLUSTERS_8_REP_1,1024,1332760,2,72634814,0.998051,1.4e-05
CLUSTERS_8_REP_1,1118,1332760,2,72634720,0.998214,1.5e-05
CLUSTERS_8_REP_1,1296,1332760,2,72634542,0.998459,1.8e-05
CLUSTERS_8_REP_1,1458,1332760,2,72634380,0.99863,2e-05
CLUSTERS_8_REP_1,1584,1332760,2,72634254,0.998739,2.2e-05
CLUSTERS_8_REP_1,1806,1332760,2,72634032,0.998894,2.5e-05
CLUSTERS_8_REP_1,2074,1332760,2,72633764,0.999037,2.9e-05
CLUSTERS_8_REP_1,2320,1332750,12,72633518,0.994854,3.2e-05
CLUSTERS_8_REP_1,2508,1332750,12,72633330,0.995238,3.5e-05
CLUSTERS_8_REP_1,2680,1332760,2,72633158,0.999254,3.7e-05
CLUSTERS_8_REP_1,2956,1332760,2,72632882,0.999324,4.1e-05
CLUSTERS_8_REP_1,3204,1332744,18,72632634,0.994413,4.4e-05
CLUSTERS_8_REP_1,3460,1332746,16,72632378,0.995397,4.8e-05
CLUSTERS_8_REP_1,3910,1332738,24,72631928,0.993899,5.4e-05
CLUSTERS_8_REP_1,4208,1332738,24,72631630,0.994329,5.8e-05
CLUSTERS_8_REP_1,4492,1332738,24,72631346,0.994686,6.2e-05
CLUSTERS_8_REP_1,4914,1332760,2,72630924,0.999593,6.8e-05
CLUSTERS_8_REP_1,5378,1332748,14,72630460,0.997404,7.4e-05
CLUSTERS_8_REP_1,5720,1332760,2,72630118,0.99965,7.9e-05
CLUSTERS_8_REP_1,6204,1332758,4,72629634,0.999356,8.5e-05
CLUSTERS_8_REP_1,6556,1332758,4,72629282,0.99939,9e-05
CLUSTERS_8_REP_1,7092,1332754,8,72628746,0.998873,9.8e-05
CLUSTERS_8_REP_1,7598,1332754,8,72628240,0.998948,0.000105
CLUSTERS_8_REP_1,8088,1332754,8,72627750,0.999012,0.000111
CLUSTERS_8_REP_1,8642,1332712,50,72627196,0.994248,0.000119
CLUSTERS_8_REP_1,9132,1332712,50,72626706,0.994555,0.000126
CLUSTERS_8_REP_1,9568,1332712,50,72626270,0.994801,0.000132
CLUSTERS_8_REP_1,9882,1332736,26,72625956,0.997376,0.000136
CLUSTERS_8_REP_1,10434,1332734,28,72625404,0.997324,0.000144
CLUSTERS_8_REP_1,11012,1332748,14,72624826,0.99873,0.000152
CLUSTERS_8_REP_1,11462,1332752,10,72624376,0.999128,0.000158
CLUSTERS_8_REP_1,11942,1332752,10,72623896,0.999163,0.000164
CLUSTERS_8_REP_1,12354,1332752,10,72623484,0.999191,0.00017
CLUSTERS_8_REP_1,12752,1332720,42,72623086,0.996717,0.000176
CLUSTERS_8_REP_1,13116,1332720,42,72622722,0.996808,0.000181
CLUSTERS_8_REP_1,13622,1332748,14,72622216,0.998973,0.000188
CLUSTERS_8_REP_1,13794,1332752,10,72622044,0.999276,0.00019
CLUSTERS_8_REP_1,14230,1332752,10,72621608,0.999298,0.000196
CLUSTERS_8_REP_1,14726,1332752,10,72621112,0.999321,0.000203
CLUSTERS_8_REP_1,15416,1332748,14,72620422,0.999093,0.000212
CLUSTERS_8_REP_1,15722,1332752,10,72620116,0.999364,0.000216
CLUSTERS_8_REP_1,16136,1332752,10,72619702,0.999381,0.000222
CLUSTERS_8_REP_1,16428,1332752,10,72619410,0.999392,0.000226
CLUSTERS_8_REP_1,16880,1332752,10,72618958,0.999408,0.000232
CLUSTERS_8_REP_1,17086,1332748,14,72618752,0.999181,0.000235
CLUSTERS_8_REP_1,17522,1332748,14,72618316,0.999202,0.000241
CLUSTERS_8_REP_1,18034,1332748,14,72617804,0.999224,0.000248
CLUSTERS_8_REP_1,18228,1332720,42,72617610,0.997701,0.000251
CLUSTERS_8_REP_1,18704,1332720,42,72617134,0.99776,0.000258
CLUSTERS_8_REP_1,18910,1332720,42,72616928,0.997784,0.00026
CLUSTERS_8_REP_1,19416,1332720,42,72616422,0.997842,0.000267
CLUSTERS_8_REP_1,19574,1332720,42,72616264,0.997859,0.000269
CLUSTERS_8_REP_1,19948,1332720,42,72615890,0.997899,0.000275
CLUSTERS_8_REP_1,20488,1332720,42,72615350,0.997954,0.000282
CLUSTERS_8_REP_1,20554,1332752,10,72615284,0.999514,0.000283
CLUSTERS_8_REP_1,20628,1332752,10,72615210,0.999515,0.000284
CLUSTERS_8_REP_1,21158,1332740,22,72614680,0.998961,0.000291
CLUSTERS_8_REP_1,21762,1332740,22,72614076,0.99899,0.0003
CLUSTERS_8_REP_1,21954,1332740,22,72613884,0.998999,0.000302
CLUSTERS_8_REP_1,22118,1332736,26,72613720,0.998826,0.000305
CLUSTERS_8_REP_1,22226,1332736,26,72613612,0.998832,0.000306
CLUSTERS_8_REP_1,22826,1332736,26,72613012,0.998862,0.000314
CLUSTERS_8_REP_1,22950,1332736,26,72612888,0.998868,0.000316
CLUSTERS_8_REP_1,23058,1332740,22,72612780,0.999047,0.000317
CLUSTERS_8_REP_1,23280,1332740,22,72612558,0.999056,0.000321
CLUSTERS_8_REP_1,23456,1332740,22,72612382,0.999063,0.000323
CLUSTERS_8_REP_1,23628,1332740,22,72612210,0.99907,0.000325
CLUSTERS_8_REP_1,23822,1332740,22,72612016,0.999077,0.000328
CLUSTERS_8_REP_1,24176,1332740,22,72611662,0.999091,0.000333
CLUSTERS_8_REP_1,24106,1332736,26,72611732,0.998923,0.000332
CLUSTERS_8_REP_1,24166,1332736,26,72611672,0.998925,0.000333
CLUSTERS_8_REP_1,24472,1332740,22,72611366,0.999102,0.000337
CLUSTERS_8_REP_1,24388,1332740,22,72611450,0.999099,0.000336
CLUSTERS_8_REP_1,24708,1332740,22,72611130,0.99911,0.00034
CLUSTERS_8_REP_1,24870,1332736,26,72610968,0.998956,0.000342
CLUSTERS_8_REP_1,25256,1332736,26,72610582,0.998972,0.000348
CLUSTERS_8_REP_1,25594,1332736,26,72610244,0.998985,0.000352
CLUSTERS_8_REP_1,25602,1332736,26,72610236,0.998985,0.000352
CLUSTERS_8_REP_1,25680,1332736,26,72610158,0.998989,0.000354
CLUSTERS_8_REP_1,26160,1332736,26,72609678,0.999007,0.00036
CLUSTERS_8_REP_1,26370,1332736,26,72609468,0.999015,0.000363
CLUSTERS_8_REP_1,26866,1332736,26,72608972,0.999033,0.00037
CLUSTERS_8_REP_1,26948,1332736,26,72608890,0.999036,0.000371
