Rep,Threshold,TP,TN,FP,FN
CLUSTERS_8_REP_1,0.000000,0,1332762,0,72635838
CLUSTERS_8_REP_1,0.010000,4,1332762,0,72635834
CLUSTERS_8_REP_1,0.013000,8,1332762,0,72635830
CLUSTERS_8_REP_1,0.015000,10,1332762,0,72635828
CLUSTERS_8_REP_1,0.016000,18,1332762,0,72635820
CLUSTERS_8_REP_1,0.017000,28,1332762,0,72635810
CLUSTERS_8_REP_1,0.018000,32,1332762,0,72635806
CLUSTERS_8_REP_1,0.019000,42,1332762,0,72635796
CLUSTERS_8_REP_1,0.020000,64,1332762,0,72635774
CLUSTERS_8_REP_1,0.021000,88,1332762,0,72635750
CLUSTERS_8_REP_1,0.022000,110,1332762,0,72635728
CLUSTERS_8_REP_1,0.023000,140,1332762,0,72635698
CLUSTERS_8_REP_1,0.024000,184,1332762,0,72635654
CLUSTERS_8_REP_1,0.025000,224,1332762,0,72635614
CLUSTERS_8_REP_1,0.026000,280,1332762,0,72635558
CLUSTERS_8_REP_1,0.027000,360,1332762,0,72635478
CLUSTERS_8_REP_1,0.028000,452,1332762,0,72635386
CLUSTERS_8_REP_1,0.029000,566,1332762,0,72635272
CLUSTERS_8_REP_1,0.030000,678,1332762,0,72635160
CLUSTERS_8_REP_1,0.031000,772,1332762,0,72635066
CLUSTERS_8_REP_1,0.032000,952,1332762,0,72634886
CLUSTERS_8_REP_1,0.033000,1132,1332762,0,72634706
CLUSTERS_8_REP_1,0.034000,1334,1332760,2,72634504
CLUSTERS_8_REP_1,0.035000,1576,1332760,2,72634262
CLUSTERS_8_REP_1,0.036000,1834,1332760,2,72634004
CLUSTERS_8_REP_1,0.037000,2194,1332760,2,72633644
CLUSTERS_8_REP_1,0.038000,2544,1332760,2,72633294
CLUSTERS_8_REP_1,0.039000,2756,1332760,2,72633082
CLUSTERS_8_REP_1,0.040000,3278,1332760,2,72632560
CLUSTERS_8_REP_1,0.041000,3848,1332760,2,72631990
CLUSTERS_8_REP_1,0.042000,4304,1332758,4,72631534
CLUSTERS_8_REP_1,0.043000,4818,1332758,4,72631020
CLUSTERS_8_REP_1,0.044000,5504,1332756,6,72630334
CLUSTERS_8_REP_1,0.045000,6268,1332754,8,72629570
CLUSTERS_8_REP_1,0.046000,7190,1332750,12,72628648
CLUSTERS_8_REP_1,0.047000,7864,1332752,10,72627974
CLUSTERS_8_REP_1,0.048000,8590,1332752,10,72627248
CLUSTERS_8_REP_1,0.049000,9442,1332752,10,72626396
CLUSTERS_8_REP_1,0.050000,10794,1332742,20,72625044
CLUSTERS_8_REP_1,0.051000,11430,1332742,20,72624408
CLUSTERS_8_REP_1,0.052000,12194,1332740,22,72623644
CLUSTERS_8_REP_1,0.053000,13570,1332740,22,72622268
CLUSTERS_8_REP_1,0.054000,14290,1332740,22,72621548
CLUSTERS_8_REP_1,0.055000,15190,1332742,20,72620648
CLUSTERS_8_REP_1,0.056000,16318,1332740,22,72619520
CLUSTERS_8_REP_1,0.057000,17808,1332726,36,72618030
CLUSTERS_8_REP_1,0.058000,20436,1332726,36,72615402
CLUSTERS_8_REP_1,0.059000,22422,1332746,16,72613416
CLUSTERS_8_REP_1,0.060000,23180,1332746,16,72612658
CLUSTERS_8_REP_1,0.061000,25402,1332730,32,72610436
CLUSTERS_8_REP_1,0.062000,26218,1332730,32,72609620
CLUSTERS_8_REP_1,0.063000,27762,1332736,26,72608076
CLUSTERS_8_REP_1,0.064000,29486,1332732,30,72606352
CLUSTERS_8_REP_1,0.065000,32502,1332732,30,72603336
CLUSTERS_8_REP_1,0.066000,33108,1332732,30,72602730
CLUSTERS_8_REP_1,0.067000,35524,1332720,42,72600314
CLUSTERS_8_REP_1,0.068000,36678,1332728,34,72599160
CLUSTERS_8_REP_1,0.069000,39310,1332728,34,72596528
CLUSTERS_8_REP_1,0.070000,40718,1332726,36,72595120
CLUSTERS_8_REP_1,0.071000,43888,1332726,36,72591950
CLUSTERS_8_REP_1,0.072000,47076,1332726,36,72588762
CLUSTERS_8_REP_1,0.073000,50096,1332726,36,72585742
CLUSTERS_8_REP_1,0.074000,53020,1332726,36,72582818
CLUSTERS_8_REP_1,0.075000,56116,1332714,48,72579722
CLUSTERS_8_REP_1,0.076000,59384,1332724,38,72576454
CLUSTERS_8_REP_1,0.077000,61790,1332724,38,72574048
CLUSTERS_8_REP_1,0.078000,64190,1332724,38,72571648
CLUSTERS_8_REP_1,0.079000,68340,1332710,52,72567498
CLUSTERS_8_REP_1,0.080000,72548,1332706,56,72563290
CLUSTERS_8_REP_1,0.081000,75672,1332706,56,72560166
CLUSTERS_8_REP_1,0.082000,79830,1332704,58,72556008
CLUSTERS_8_REP_1,0.083000,84026,1332704,58,72551812
CLUSTERS_8_REP_1,0.084000,86576,1332696,66,72549262
CLUSTERS_8_REP_1,0.085000,88054,1332696,66,72547784
CLUSTERS_8_REP_1,0.086000,93842,1332696,66,72541996
CLUSTERS_8_REP_1,0.087000,97500,1332696,66,72538338
CLUSTERS_8_REP_1,0.088000,101114,1332696,66,72534724
CLUSTERS_8_REP_1,0.089000,106216,1332696,66,72529622
CLUSTERS_8_REP_1,0.090000,116596,1332706,56,72519242
CLUSTERS_8_REP_1,0.091000,122962,1332682,80,72512876
CLUSTERS_8_REP_1,0.092000,127796,1332664,98,72508042
CLUSTERS_8_REP_1,0.093000,126258,1332638,124,72509580
CLUSTERS_8_REP_1,0.094000,129010,1332634,128,72506828
CLUSTERS_8_REP_1,0.095000,131148,1332632,130,72504690
CLUSTERS_8_REP_1,0.096000,134268,1332640,122,72501570
CLUSTERS_8_REP_1,0.097000,141462,1332640,122,72494376
CLUSTERS_8_REP_1,0.098000,150380,1332620,142,72485458
CLUSTERS_8_REP_1,0.099000,155804,1332620,142,72480034
CLUSTERS_8_REP_1,0.100000,167864,1332620,142,72467974
CLUSTERS_8_REP_1,0.101000,171850,1332620,142,72463988
CLUSTERS_8_REP_1,0.102000,174856,1332610,152,72460982
CLUSTERS_8_REP_1,0.103000,182966,1332610,152,72452872
CLUSTERS_8_REP_1,0.104000,188170,1332604,158,72447668
CLUSTERS_8_REP_1,0.105000,192784,1332604,158,72443054
CLUSTERS_8_REP_1,0.106000,201092,1332614,148,72434746
CLUSTERS_8_REP_1,0.107000,208770,1332614,148,72427068
CLUSTERS_8_REP_1,0.108000,218046,1332614,148,72417792
CLUSTERS_8_REP_1,0.109000,226404,1332614,148,72409434
CLUSTERS_8_REP_1,0.110000,240146,1332614,148,72395692
CLUSTERS_8_REP_1,0.111000,248934,1332614,148,72386904
CLUSTERS_8_REP_1,0.112000,254478,1332614,148,72381360
CLUSTERS_8_REP_1,0.113000,265190,1332614,148,72370648
CLUSTERS_8_REP_1,0.114000,268254,1332624,138,72367584
CLUSTERS_8_REP_1,0.115000,276664,1332624,138,72359174
CLUSTERS_8_REP_1,0.116000,288118,1332624,138,72347720
CLUSTERS_8_REP_1,0.117000,297978,1332600,162,72337860
CLUSTERS_8_REP_1,0.118000,303846,1332612,150,72331992
CLUSTERS_8_REP_1,0.119000,331700,1332612,150,72304138
CLUSTERS_8_REP_1,0.120000,341976,1332584,178,72293862
CLUSTERS_8_REP_1,0.121000,351682,1332584,178,72284156
CLUSTERS_8_REP_1,0.122000,358852,1332584,178,72276986
