Rep,Threshold,TP,TN,FP,FN
CLUSTERS_8_REP_1,0.000000,0,1332762,0,72635838
CLUSTERS_8_REP_1,0.015000,2,1332762,0,72635836
CLUSTERS_8_REP_1,0.017000,4,1332762,0,72635834
CLUSTERS_8_REP_1,0.018000,6,1332762,0,72635832
CLUSTERS_8_REP_1,0.019000,12,1332762,0,72635826
CLUSTERS_8_REP_1,0.020000,16,1332762,0,72635822
CLUSTERS_8_REP_1,0.021000,20,1332762,0,72635818
CLUSTERS_8_REP_1,0.022000,30,1332762,0,72635808
CLUSTERS_8_REP_1,0.023000,38,1332762,0,72635800
CLUSTERS_8_REP_1,0.024000,56,1332762,0,72635782
CLUSTERS_8_REP_1,0.025000,70,1332762,0,72635768
CLUSTERS_8_REP_1,0.026000,92,1332762,0,72635746
CLUSTERS_8_REP_1,0.027000,120,1332762,0,72635718
CLUSTERS_8_REP_1,0.028000,158,1332762,0,72635680
CLUSTERS_8_REP_1,0.029000,202,1332762,0,72635636
CLUSTERS_8_REP_1,0.030000,234,1332762,0,72635604
CLUSTERS_8_REP_1,0.031000,288,1332762,0,72635550
CLUSTERS_8_REP_1,0.032000,368,1332762,0,72635470
CLUSTERS_8_REP_1,0.033000,436,1332762,0,72635402
CLUSTERS_8_REP_1,0.034000,518,1332760,2,72635320
CLUSTERS_8_REP_1,0.035000,594,1332760,2,72635244
CLUSTERS_8_REP_1,0.036000,750,1332760,2,72635088
CLUSTERS_8_REP_1,0.037000,928,1332760,2,72634910
CLUSTERS_8_REP_1,0.038000,1066,1332760,2,72634772
CLUSTERS_8_REP_1,0.039000,1212,1332760,2,72634626
CLUSTERS_8_REP_1,0.040000,1468,1332760,2,72634370
CLUSTERS_8_REP_1,0.041000,1748,1332760,2,72634090
CLUSTERS_8_REP_1,0.042000,2032,1332760,2,72633806
CLUSTERS_8_REP_1,0.043000,2264,1332760,2,72633574
CLUSTERS_8_REP_1,0.044000,2618,1332760,2,72633220
CLUSTERS_8_REP_1,0.045000,3142,1332756,6,72632696
CLUSTERS_8_REP_1,0.046000,3562,1332752,10,72632276
CLUSTERS_8_REP_1,0.047000,3990,1332752,10,72631848
CLUSTERS_8_REP_1,0.048000,4524,1332758,4,72631314
CLUSTERS_8_REP_1,0.049000,5156,1332758,4,72630682
CLUSTERS_8_REP_1,0.050000,5596,1332758,4,72630242
